TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121003600,65.75512269,19.81637925,65.75512269,7870,2623.333333,37,21,16,5.11,1.17,14108,598,44,0.00590527,15912.13653,10,0.152079406
13121006801,27.4428742,0,27.4428742,0,0,NA,NA,NA,NA,NA,NA,NA,0,0.26793115,0,7,0.255075323
13121008800,11.63721389,0.882918534,11.63721389,78080,8675.555556,60,36,23,8.7,1.86,21122,99,250,0.03969111,17626.17497,44,3.78097373
13121000700,37.22417205,8.460573269,37.22417205,51190,12797.5,52,30,22,7.18,1.74,18471,267,82,0.0101691,30001.8846,25,0.67160661
13121001300,72.76516182,22.16861286,72.76516182,108620,18103.33333,42,24,18,5.37,1.38,14907,453,88,0.00763617,59518.30126,37,0.508485092
13121003800,71.36087124,37.40071498,71.36087124,36790,7358,29,12,18,4.1,1.38,14276,506,72,0.00891463,63647.50451,23,0.322305482
13121004000,83.6280337,0.644667755,83.6280337,178350,35670,42,21,21,6.94,1.64,17933,370,112,0.00830382,2116.514215,52,0.62180106
13121004200,99.66198103,2.04743331,99.66198103,243180,22107.27273,28,12,17,4.73,1.26,14159,671,98,0.00734139,5206.61266,48,0.481627994
13121004900,33.14313828,21.79273644,33.14313828,235170,29396.25,52,33,19,6.76,1.5,16919,414,152,0.00340645,48604.88915,14,0.42241021
13121002800,58.85738993,31.10220935,58.85738993,1141010,71313.125,34,20,15,3.4,1.08,11912,676,68,0.00550925,47432.16479,17,0.288833739
13121004800,26.35313117,41.62520253,26.35313117,445880,55735,32,17,15,3.88,1.12,11687,591,36,0.00388687,33359.37542,4,0.15178462
13121005300,36.24446948,25.53261172,36.24446948,3510,1755,56,35,21,7.81,1.69,18817,191,156,0.00615582,115305.2206,31,0.855302904
13121008101,22.94494161,0,22.94494161,3910,1955,49,27,23,8.08,1.82,20947,122,50,0.12205007,0,8,0.348660726
13121000500,12.53035873,9.109565042,12.53035873,1111920,39711.42857,60,42,18,3.52,1.39,15461,513,188,0.02205008,61416.90155,16,1.276898798
13121001600,25.21710725,19.77445438,25.21710725,53450,10690,48,31,17,5.17,1.31,14136,571,51,0.0066347,37263.66241,9,0.356900572
13121003100,41.40243522,30.09315751,41.40243522,64600,21533.33333,45,26,19,6.75,1.5,15963,513,86,0.00560913,53728.37322,14,0.338144361
13121005501,60.8011445,37.51285997,60.8011445,4440,1480,40,21,19,6.44,1.54,16605,237,108,0.00501897,91213.73435,28,0.460517647
13121005700,68.46290679,3.78007321,68.46290679,0,0,33,16,17,4.86,1.35,14281,471,82,0.00716525,6413.59218,22,0.321341892
13121006000,52.91741813,1.597544794,52.91741813,22030,11015,41,20,20,6.58,1.6,18044,265,108,0.03972575,5100.798405,32,0.604715822
13121006602,40.79500989,2.038394366,40.79500989,0,0,34,16,18,5.43,1.39,14882,586,32,0.05353591,2638.243951,10,0.24512802
13089020500,49.15025816,3.993244924,49.15025816,61210,15302.5,44,24,20,6.35,1.58,17014,329,132,0,13727.2615,32,0.651064739
13089020900,55.9124259,3.09251062,55.9124259,561410,22456.4,51,29,22,5.87,1.75,19232,148,248,0,27451.4002,94,1.681200529
13089020700,26.61874256,2.408736257,26.61874256,3780,3780,46,25,20,5.5,1.62,18437,225,82,0,6211.24771,13,0.48837769
13089020100,32.79088835,5.220355309,32.79088835,11000,11000,83,62,21,8.37,1.75,18853,111,62,0,11768.16367,14,0.426947872
