TractFIPS,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
13121008000,24.6,26.7,12.3,46.9,84.4,6.6,11.2,8.0,80.6,85.3,61.8,8.8,22.5,28.0,20.6,53.1,18.3,34.9,4.6,37.3,84.4,13.5,38.8,14.8,44.2,6.0,23.8
13121008101,24.6,30.3,10.6,51.6,87.0,7.9,10.9,10.0,82.4,86.6,61.0,9.9,21.6,26.3,19.3,49.2,21.3,38.0,5.5,39.1,83.2,12.9,39.2,15.7,43.8,7.3,27.8
13121008102,30.4,26.7,11.7,46.9,83.4,6.1,11.9,8.7,79.0,81.5,52.7,10.3,18.2,21.8,24.6,39.3,19.5,34.9,5.1,42.7,84.0,16.3,41.3,17.2,46.9,6.8,36.6
13121008201,23.3,27.0,11.6,47.3,85.3,7.2,10.7,8.6,81.3,85.4,58.8,8.3,21.0,24.3,17.8,48.7,18.4,34.9,4.9,36.4,84.7,12.6,37.3,14.0,43.6,6.3,27.9
13121008202,28.3,27.3,11.6,47.9,84.2,6.5,11.6,9.1,80.1,82.5,56.9,10.0,20.6,23.8,22.8,46.6,19.6,35.2,5.2,41.5,84.3,15.3,40.2,16.5,45.1,7.0,30.4
13121008301,27.8,26.1,12.0,47.4,83.3,6.0,11.2,8.7,79.3,82.5,58.5,9.6,22.3,26.0,23.8,51.3,19.1,34.5,5.0,41.6,84.3,15.4,41.4,16.4,44.5,6.7,26.1
13121008302,25.2,28.8,11.2,50.1,85.8,7.6,10.8,9.8,81.5,85.3,60.5,9.4,22.3,24.8,19.6,52.5,20.0,36.2,5.5,39.4,84.5,13.3,38.4,15.7,43.1,7.3,25.9
13121008400,27.2,24.8,12.0,45.1,82.2,5.5,11.9,8.5,78.8,80.6,52.7,9.5,19.0,21.9,23.4,43.2,18.4,33.3,4.9,40.6,84.2,16.5,40.7,16.3,46.5,6.5,33.6
13121008500,29.8,25.6,12.4,46.2,82.3,5.8,11.8,8.6,78.5,81.1,58.4,10.0,22.1,26.6,25.1,50.9,18.7,34.0,5.0,41.7,84.1,16.3,41.3,16.8,45.0,6.6,26.0
13121008601,30.2,25.1,11.6,45.5,81.7,5.6,12.1,8.7,78.6,79.1,53.3,10.2,19.3,22.6,25.3,41.3,19.0,33.4,5.1,43.2,83.8,17.5,42.4,17.1,46.5,6.7,34.8
13121008602,21.7,20.7,14.2,38.3,79.4,4.9,10.9,5.3,77.5,83.4,62.6,6.4,23.4,28.9,19.5,56.4,13.5,29.2,3.6,33.1,86.2,13.7,37.8,12.2,44.4,4.2,19.4
13121008700,24.7,21.6,13.5,39.3,79.8,5.2,11.3,6.2,77.6,80.6,59.4,7.3,22.1,26.6,20.0,51.9,14.5,29.8,4.1,35.5,85.2,14.6,37.1,13.1,43.7,4.9,24.5
13121008800,14.1,12.3,23.8,20.3,67.5,4.1,7.8,2.6,67.0,82.0,69.5,3.2,35.7,40.2,13.1,75.7,5.4,22.9,1.8,19.8,84.8,9.6,24.0,6.6,33.7,1.6,8.1
13121008902,14.2,8.9,24.5,16.1,58.4,2.9,7.7,1.9,65.0,76.9,65.9,2.6,37.2,39.5,12.2,73.1,3.8,18.9,1.5,18.8,83.2,10.0,21.6,5.7,34.0,1.1,7.7
